PassengerId,Survived,Pclass,Sex,Age,Parch
1,0,3,male,22,0
2,1,1,female,38,0
3,1,3,female,26,0
4,1,1,female,35,0
5,0,3,male,35,0
7,0,1,male,54,0
8,0,3,male,2,1
9,1,3,female,27,2
10,1,2,female,14,0
11,1,3,female,4,1
12,1,1,female,58,0
13,0,3,male,20,0
14,0,3,male,39,5
15,0,3,female,14,0
16,1,2,female,55,0
17,0,3,male,2,1
19,0,3,female,31,0
21,0,2,male,35,0
22,1,2,male,34,0
23,1,3,female,15,0
24,1,1,male,28,0
25,0,3,female,8,1
26,1,3,female,38,5
28,0,1,male,19,2
31,0,1,male,40,0
34,0,2,male,66,0
35,0,1,male,28,0
36,0,1,male,42,0
38,0,3,male,21,0
39,0,3,female,18,0
40,1,3,female,14,0
41,0,3,female,40,0
42,0,2,female,27,0
44,1,2,female,3,2
45,1,3,female,19,0
50,0,3,female,18,0
51,0,3,male,7,1
52,0,3,male,21,0
53,1,1,female,49,0
54,1,2,female,29,0
55,0,1,male,65,1
57,1,2,female,21,0
58,0,3,male,28.5,0
59,1,2,female,5,2
60,0,3,male,11,2
61,0,3,male,22,0
62,1,1,female,38,0
63,0,1,male,45,0
64,0,3,male,4,2
67,1,2,female,29,0
68,0,3,male,19,0
69,1,3,female,17,2
70,0,3,male,26,0
71,0,2,male,32,0
72,0,3,female,16,2
73,0,2,male,21,0
74,0,3,male,26,0
75,1,3,male,32,0
76,0,3,male,25,0
79,1,2,male,0.83,2
80,1,3,female,30,0
81,0,3,male,22,0
82,1,3,male,29,0
84,0,1,male,28,0
85,1,2,female,17,0
86,1,3,female,33,0
87,0,3,male,16,3
89,1,1,female,23,2
90,0,3,male,24,0
91,0,3,male,29,0
92,0,3,male,20,0
93,0,1,male,46,0
94,0,3,male,26,2
95,0,3,male,59,0
97,0,1,male,71,0
98,1,1,male,23,1
99,1,2,female,34,1
100,0,2,male,34,0
101,0,3,female,28,0
103,0,1,male,21,1
104,0,3,male,33,0
105,0,3,male,37,0
106,0,3,male,28,0
107,1,3,female,21,0
109,0,3,male,38,0
111,0,1,male,47,0
112,0,3,female,14.5,0
113,0,3,male,22,0
114,0,3,female,20,0
115,0,3,female,17,0
116,0,3,male,21,0
117,0,3,male,70.5,0
118,0,2,male,29,0
119,0,1,male,24,1
120,0,3,female,2,2
121,0,2,male,21,0
123,0,2,male,32.5,0
124,1,2,female,32.5,0
125,0,1,male,54,1
126,1,3,male,12,0
128,1,3,male,24,0
130,0,3,male,45,0
131,0,3,male,33,0
132,0,3,male,20,0
133,0,3,female,47,0
134,1,2,female,29,0
135,0,2,male,25,0
136,0,2,male,23,0
137,1,1,female,19,2
138,0,1,male,37,0
139,0,3,male,16,0
140,0,1,male,24,0
142,1,3,female,22,0
143,1,3,female,24,0
144,0,3,male,19,0
145,0,2,male,18,0
146,0,2,male,19,1
147,1,3,male,27,0
148,0,3,female,9,2
149,0,2,male,36.5,2
150,0,2,male,42,0
151,0,2,male,51,0
152,1,1,female,22,0
153,0,3,male,55.5,0
154,0,3,male,40.5,2
156,0,1,male,51,1
157,1,3,female,16,0
158,0,3,male,30,0
161,0,3,male,44,1
162,1,2,female,40,0
163,0,3,male,26,0
164,0,3,male,17,0
165,0,3,male,1,1
166,1,3,male,9,2
168,0,3,female,45,4
170,0,3,male,28,0
171,0,1,male,61,0
172,0,3,male,4,1
173,1,3,female,1,1
174,0,3,male,21,0
175,0,1,male,56,0
176,0,3,male,18,1
178,0,1,female,50,0
179,0,2,male,30,0
180,0,3,male,36,0
183,0,3,male,9,2
184,1,2,male,1,1
185,1,3,female,4,2
188,1,1,male,45,0
189,0,3,male,40,1
190,0,3,male,36,0
191,1,2,female,32,0
192,0,2,male,19,0
193,1,3,female,19,0
194,1,2,male,3,1
195,1,1,female,44,0
196,1,1,female,58,0
198,0,3,male,42,1
200,0,2,female,24,0
201,0,3,male,28,0
203,0,3,male,34,0
204,0,3,male,45.5,0
205,1,3,male,18,0
206,0,3,female,2,1
207,0,3,male,32,0
208,1,3,male,26,0
209,1,3,female,16,0
210,1,1,male,40,0
211,0,3,male,24,0
212,1,2,female,35,0
213,0,3,male,22,0
214,0,2,male,30,0
216,1,1,female,31,0
217,1,3,female,27,0
218,0,2,male,42,0
219,1,1,female,32,0
220,0,2,male,30,0
221,1,3,male,16,0
222,0,2,male,27,0
223,0,3,male,51,0
225,1,1,male,38,0
226,0,3,male,22,0
227,1,2,male,19,0
228,0,3,male,20.5,0
229,0,2,male,18,0
231,1,1,female,35,0
232,0,3,male,29,0
233,0,2,male,59,0
234,1,3,female,5,2
235,0,2,male,24,0
237,0,2,male,44,0
238,1,2,female,8,2
239,0,2,male,19,0
240,0,2,male,33,0
243,0,2,male,29,0
244,0,3,male,22,0
245,0,3,male,30,0
246,0,1,male,44,0
247,0,3,female,25,0
248,1,2,female,24,2
249,1,1,male,37,1
250,0,2,male,54,0
252,0,3,female,29,1
253,0,1,male,62,0
254,0,3,male,30,0
255,0,3,female,41,2
256,1,3,female,29,2
258,1,1,female,30,0
259,1,1,female,35,0
260,1,2,female,50,1
262,1,3,male,3,2
263,0,1,male,52,1
264,0,1,male,40,0
266,0,2,male,36,0
267,0,3,male,16,1
268,1,3,male,25,0
269,1,1,female,58,1
270,1,1,female,35,0
272,1,3,male,25,0
273,1,2,female,41,1
274,0,1,male,37,1
276,1,1,female,63,0
277,0,3,female,45,0
279,0,3,male,7,1
280,1,3,female,35,1
281,0,3,male,65,0
282,0,3,male,28,0
283,0,3,male,16,0
284,1,3,male,19,0
286,0,3,male,33,0
287,1,3,male,30,0
288,0,3,male,22,0
289,1,2,male,42,0
290,1,3,female,22,0
291,1,1,female,26,0
292,1,1,female,19,0
293,0,2,male,36,0
294,0,3,female,24,0
295,0,3,male,24,0
297,0,3,male,23.5,0
298,0,1,female,2,2
300,1,1,female,50,1
303,0,3,male,19,0
306,1,1,male,0.92,2
308,1,1,female,17,0
309,0,2,male,30,0
310,1,1,female,30,0
311,1,1,female,24,0
312,1,1,female,18,2
313,0,2,female,26,1
314,0,3,male,28,0
315,0,2,male,43,1
316,1,3,female,26,0
317,1,2,female,24,0
318,0,2,male,54,0
319,1,1,female,31,2
320,1,1,female,40,1
321,0,3,male,22,0
322,0,3,male,27,0
323,1,2,female,30,0
324,1,2,female,22,1
326,1,1,female,36,0
327,0,3,male,61,0
328,1,2,female,36,0
329,1,3,female,31,1
330,1,1,female,16,1
332,0,1,male,45.5,0
333,0,1,male,38,1
334,0,3,male,16,0
337,0,1,male,29,0
338,1,1,female,41,0
339,1,3,male,45,0
340,0,1,male,45,0
341,1,2,male,2,1
342,1,1,female,24,2
343,0,2,male,28,0
344,0,2,male,25,0
345,0,2,male,36,0
346,1,2,female,24,0
347,1,2,female,40,0
349,1,3,male,3,1
350,0,3,male,42,0
351,0,3,male,23,0
353,0,3,male,15,1
354,0,3,male,25,0
356,0,3,male,28,0
357,1,1,female,22,1
358,0,2,female,38,0
361,0,3,male,40,4
362,0,2,male,29,0
363,0,3,female,45,1
364,0,3,male,35,0
366,0,3,male,30,0
367,1,1,female,60,0
370,1,1,female,24,0
371,1,1,male,25,0
372,0,3,male,18,0
373,0,3,male,19,0
374,0,1,male,22,0
375,0,3,female,3,1
377,1,3,female,22,0
378,0,1,male,27,2
379,0,3,male,20,0
380,0,3,male,19,0
381,1,1,female,42,0
382,1,3,female,1,2
383,0,3,male,32,0
384,1,1,female,35,0
386,0,2,male,18,0
387,0,3,male,1,2
388,1,2,female,36,0
390,1,2,female,17,0
391,1,1,male,36,2
392,1,3,male,21,0
393,0,3,male,28,0
394,1,1,female,23,0
395,1,3,female,24,2
396,0,3,male,22,0
397,0,3,female,31,0
398,0,2,male,46,0
399,0,2,male,23,0
400,1,2,female,28,0
401,1,3,male,39,0
402,0,3,male,26,0
403,0,3,female,21,0
404,0,3,male,28,0
405,0,3,female,20,0
406,0,2,male,34,0
407,0,3,male,51,0
408,1,2,male,3,1
409,0,3,male,21,0
413,1,1,female,33,0
415,1,3,male,44,0
417,1,2,female,34,1
418,1,2,female,18,2
419,0,2,male,30,0
420,0,3,female,10,2
422,0,3,male,21,0
423,0,3,male,29,0
424,0,3,female,28,1
425,0,3,male,18,1
427,1,2,female,28,0
428,1,2,female,19,0
430,1,3,male,32,0
431,1,1,male,28,0
433,1,2,female,42,0
434,0,3,male,17,0
435,0,1,male,50,0
436,1,1,female,14,2
437,0,3,female,21,2
438,1,2,female,24,3
439,0,1,male,64,4
440,0,2,male,31,0
441,1,2,female,45,1
442,0,3,male,20,0
443,0,3,male,25,0
444,1,2,female,28,0
446,1,1,male,4,2
447,1,2,female,13,1
448,1,1,male,34,0
449,1,3,female,5,1
450,1,1,male,52,0
451,0,2,male,36,2
453,0,1,male,30,0
454,1,1,male,49,0
456,1,3,male,29,0
457,0,1,male,65,0
459,1,2,female,50,0
461,1,1,male,48,0
462,0,3,male,34,0
463,0,1,male,47,0
464,0,2,male,48,0
466,0,3,male,38,0
468,0,1,male,56,0
470,1,3,female,0.75,1
472,0,3,male,38,0
473,1,2,female,33,2
474,1,2,female,23,0
475,0,3,female,22,0
477,0,2,male,34,0
478,0,3,male,29,0
479,0,3,male,22,0
480,1,3,female,2,1
481,0,3,male,9,2
483,0,3,male,50,0
484,1,3,female,63,0
485,1,1,male,25,0
487,1,1,female,35,0
488,0,1,male,58,0
489,0,3,male,30,0
490,1,3,male,9,1
492,0,3,male,21,0
493,0,1,male,55,0
494,0,1,male,71,0
495,0,3,male,21,0
497,1,1,female,54,0
499,0,1,female,25,2
500,0,3,male,24,0
501,0,3,male,17,0
502,0,3,female,21,0
504,0,3,female,37,0
505,1,1,female,16,0
506,0,1,male,18,0
507,1,2,female,33,2
509,0,3,male,28,0
510,1,3,male,26,0
511,1,3,male,29,0
513,1,1,male,36,0
514,1,1,female,54,0
515,0,3,male,24,0
516,0,1,male,47,0
517,1,2,female,34,0
519,1,2,female,36,0
520,0,3,male,32,0
521,1,1,female,30,0
522,0,3,male,22,0
524,1,1,female,44,1
526,0,3,male,40.5,0
527,1,2,female,50,0
529,0,3,male,39,0
530,0,2,male,23,1
531,1,2,female,2,1
533,0,3,male,17,1
535,0,3,female,30,0
536,1,2,female,7,2
537,0,1,male,45,0
538,1,1,female,30,0
540,1,1,female,22,2
541,1,1,female,36,2
542,0,3,female,9,2
543,0,3,female,11,2
544,1,2,male,32,0
545,0,1,male,50,0
546,0,1,male,64,0
547,1,2,female,19,0
549,0,3,male,33,1
550,1,2,male,8,1
551,1,1,male,17,2
552,0,2,male,27,0
554,1,3,male,22,0
555,1,3,female,22,0
556,0,1,male,62,0
557,1,1,female,48,0
559,1,1,female,39,1
560,1,3,female,36,0
562,0,3,male,40,0
563,0,2,male,28,0
566,0,3,male,24,0
567,0,3,male,19,0
568,0,3,female,29,4
570,1,3,male,32,0
571,1,2,male,62,0
572,1,1,female,53,0
573,1,1,male,36,0
575,0,3,male,16,0
576,0,3,male,19,0
577,1,2,female,34,0
578,1,1,female,39,0
580,1,3,male,32,0
581,1,2,female,25,1
582,1,1,female,39,1
583,0,2,male,54,0
584,0,1,male,36,0
586,1,1,female,18,2
587,0,2,male,47,0
588,1,1,male,60,1
589,0,3,male,22,0
591,0,3,male,35,0
592,1,1,female,52,0
593,0,3,male,47,0
595,0,2,male,37,0
596,0,3,male,36,1
598,0,3,male,49,0
600,1,1,male,49,0
601,1,2,female,24,1
604,0,3,male,44,0
605,1,1,male,35,0
606,0,3,male,36,0
607,0,3,male,30,0
608,1,1,male,27,0
609,1,2,female,22,2
610,1,1,female,40,0
611,0,3,female,39,5
615,0,3,male,35,0
616,1,2,female,24,2
617,0,3,male,34,1
618,0,3,female,26,0
619,1,2,female,4,1
620,0,2,male,26,0
621,0,3,male,27,0
622,1,1,male,42,0
623,1,3,male,20,1
624,0,3,male,21,0
625,0,3,male,21,0
626,0,1,male,61,0
627,0,2,male,57,0
628,1,1,female,21,0
629,0,3,male,26,0
631,1,1,male,80,0
632,0,3,male,51,0
633,1,1,male,32,0
635,0,3,female,9,2
636,1,2,female,28,0
637,0,3,male,32,0
638,0,2,male,31,1
639,0,3,female,41,5
641,0,3,male,20,0
642,1,1,female,24,0
643,0,3,female,2,2
645,1,3,female,0.75,1
646,1,1,male,48,0
647,0,3,male,19,0
648,1,1,male,56,0
650,1,3,female,23,0
652,1,2,female,18,1
653,0,3,male,21,0
655,0,3,female,18,0
656,0,2,male,24,0
658,0,3,female,32,1
659,0,2,male,23,0
660,0,1,male,58,2
661,1,1,male,50,0
662,0,3,male,40,0
663,0,1,male,47,0
664,0,3,male,36,0
665,1,3,male,20,0
666,0,2,male,32,0
667,0,2,male,25,0
669,0,3,male,43,0
671,1,2,female,40,1
672,0,1,male,31,0
673,0,2,male,70,0
674,1,2,male,31,0
676,0,3,male,18,0
677,0,3,male,24.5,0
678,1,3,female,18,0
679,0,3,female,43,6
680,1,1,male,36,1
682,1,1,male,27,0
683,0,3,male,20,0
684,0,3,male,14,2
685,0,2,male,60,1
686,0,2,male,25,2
687,0,3,male,14,1
688,0,3,male,19,0
689,0,3,male,18,0
690,1,1,female,15,1
691,1,1,male,31,0
692,1,3,female,4,1
694,0,3,male,25,0
695,0,1,male,60,0
696,0,2,male,52,0
697,0,3,male,44,0
699,0,1,male,49,1
700,0,3,male,42,0
701,1,1,female,18,0
702,1,1,male,35,0
703,0,3,female,18,1
704,0,3,male,25,0
705,0,3,male,26,0
706,0,2,male,39,0
707,1,2,female,45,0
708,1,1,male,42,0
709,1,1,female,22,0
711,1,1,female,24,0
713,1,1,male,48,0
714,0,3,male,29,0
715,0,2,male,52,0
716,0,3,male,19,0
717,1,1,female,38,0
718,1,2,female,27,0
720,0,3,male,33,0
721,1,2,female,6,1
722,0,3,male,17,0
723,0,2,male,34,0
724,0,2,male,50,0
725,1,1,male,27,0
726,0,3,male,20,0
727,1,2,female,30,0
729,0,2,male,25,0
730,0,3,female,25,0
731,1,1,female,29,0
732,0,3,male,11,0
734,0,2,male,23,0
735,0,2,male,23,0
736,0,3,male,28.5,0
737,0,3,female,48,3
738,1,1,male,35,0
742,0,1,male,36,0
743,1,1,female,21,2
744,0,3,male,24,0
745,1,3,male,31,0
746,0,1,male,70,1
747,0,3,male,16,1
748,1,2,female,30,0
749,0,1,male,19,0
750,0,3,male,31,0
751,1,2,female,4,1
752,1,3,male,6,1
753,0,3,male,33,0
754,0,3,male,23,0
755,1,2,female,48,2
756,1,2,male,0.67,1
757,0,3,male,28,0
758,0,2,male,18,0
759,0,3,male,34,0
760,1,1,female,33,0
762,0,3,male,41,0
763,1,3,male,20,0
764,1,1,female,36,2
765,0,3,male,16,0
766,1,1,female,51,0
768,0,3,female,30.5,0
770,0,3,male,32,0
771,0,3,male,24,0
772,0,3,male,48,0
773,0,2,female,57,0
775,1,2,female,54,3
776,0,3,male,18,0
778,1,3,female,5,0
780,1,1,female,43,1
781,1,3,female,13,0
782,1,1,female,17,0
783,0,1,male,29,0
785,0,3,male,25,0
786,0,3,male,25,0
787,1,3,female,18,0
788,0,3,male,8,1
789,1,3,male,1,2
790,0,1,male,46,0
792,0,2,male,16,0
795,0,3,male,25,0
796,0,2,male,39,0
797,1,1,female,49,0
798,1,3,female,31,0
799,0,3,male,30,0
800,0,3,female,30,1
801,0,2,male,34,0
802,1,2,female,31,1
803,1,1,male,11,2
804,1,3,male,0.42,1
805,1,3,male,27,0
806,0,3,male,31,0
807,0,1,male,39,0
808,0,3,female,18,0
809,0,2,male,39,0
810,1,1,female,33,0
811,0,3,male,26,0
812,0,3,male,39,0
813,0,2,male,35,0
814,0,3,female,6,2
815,0,3,male,30.5,0
817,0,3,female,23,0
818,0,2,male,31,1
819,0,3,male,43,0
820,0,3,male,10,2
821,1,1,female,52,1
822,1,3,male,27,0
823,0,1,male,38,0
824,1,3,female,27,1
825,0,3,male,2,1
828,1,2,male,1,2
830,1,1,female,62,0
831,1,3,female,15,0
832,1,2,male,0.83,1
834,0,3,male,23,0
835,0,3,male,18,0
836,1,1,female,39,1
837,0,3,male,21,0
839,1,3,male,32,0
841,0,3,male,20,0
842,0,2,male,16,0
843,1,1,female,30,0
844,0,3,male,34.5,0
845,0,3,male,17,0
846,0,3,male,42,0
848,0,3,male,35,0
849,0,2,male,28,1
851,0,3,male,4,2
852,0,3,male,74,0
853,0,3,female,9,1
854,1,1,female,16,1
855,0,2,female,44,0
856,1,3,female,18,1
857,1,1,female,45,1
858,1,1,male,51,0
859,1,3,female,24,3
861,0,3,male,41,0
862,0,2,male,21,0
863,1,1,female,48,0
865,0,2,male,24,0
866,1,2,female,42,0
867,1,2,female,27,0
868,0,1,male,31,0
870,1,3,male,4,1
871,0,3,male,26,0
872,1,1,female,47,1
873,0,1,male,33,0
874,0,3,male,47,0
875,1,2,female,28,0
876,1,3,female,15,0
877,0,3,male,20,0
878,0,3,male,19,0
880,1,1,female,56,1
881,1,2,female,25,1
882,0,3,male,33,0
883,0,3,female,22,0
884,0,2,male,28,0
885,0,3,male,25,0
886,0,3,female,39,5
887,0,2,male,27,0
888,1,1,female,19,0
890,1,1,male,26,0
891,0,3,male,32,0
